77: 192.117920, 197.580597 avg, 0.000000 rate, 6.775363 seconds, 4928 images
78: 197.838394, 197.606384 avg, 0.000000 rate, 6.756642 seconds, 4992 images
79: 199.061371, 197.751877 avg, 0.000000 rate, 6.748695 seconds, 5056 images
80: 195.624817, 197.539169 avg, 0.000000 rate, 6.765477 seconds, 5120 images
81: 334.992584, 211.284515 avg, 0.000000 rate, 10.022077 seconds, 5184 images
82: 330.116486, 223.167709 avg, 0.000000 rate, 10.325157 seconds, 5248 images
83: 332.674683, 234.118408 avg, 0.000000 rate, 10.358415 seconds, 5312 images
84: 335.468414, 244.253403 avg, 0.000000 rate, 10.584545 seconds, 5376 images
85: 332.909180, 253.118988 avg, 0.000000 rate, 10.435623 seconds, 5440 images
86: 330.051941, 260.812286 avg, 0.000000 rate, 10.391233 seconds, 5504 images
87: 338.192444, 268.550293 avg, 0.000000 rate, 10.422314 seconds, 5568 images
88: 333.363983, 275.031677 avg, 0.000000 rate, 10.349656 seconds, 5632 images
89: 331.504028, 280.678925 avg, 0.000000 rate, 10.365630 seconds, 5696 images
90: 331.440369, 285.755066 avg, 0.000000 rate, 10.542896 seconds, 5760 images
91: 165.319916, 273.711548 avg, 0.000000 rate, 5.428357 seconds, 5824 images
92: 167.260361, 263.066437 avg, 0.000000 rate, 5.671647 seconds, 5888 images
93: 165.262772, 253.286072 avg, 0.000000 rate, 5.688118 seconds, 5952 images
94: 167.462250, 244.703690 avg, 0.000000 rate, 5.666403 seconds, 6016 images
95: 166.914795, 236.924805 avg, 0.000000 rate, 5.668909 seconds, 6080 images
96: 160.710327, 229.303360 avg, 0.000000 rate, 5.704204 seconds, 6144 images
97: 167.228363, 223.095856 avg, 0.000000 rate, 5.674125 seconds, 6208 images
98: 164.927628, 217.279037 avg, 0.000000 rate, 5.663483 seconds, 6272 images
99: 162.461685, 211.797302 avg, 0.000000 rate, 5.667598 seconds, 6336 images
100: 158.428650, 206.460434 avg, 0.000000 rate, 5.661640 seconds, 6400 images
101: 404.586670, 226.273056 avg, 0.000000 rate, 13.594291 seconds, 6464 images
102: 402.823486, 243.928101 avg, 0.000000 rate, 14.200253 seconds, 6528 images
103: 411.334198, 260.668701 avg, 0.000000 rate, 14.288760 seconds, 6592 images
104: 406.893158, 275.291138 avg, 0.000000 rate, 14.176694 seconds, 6656 images
105: 407.332855, 288.495300 avg, 0.000000 rate, 14.102914 seconds, 6720 images
106: 399.871796, 299.632935 avg, 0.000000 rate, 14.254407 seconds, 6784 images
107: 399.677765, 309.637421 avg, 0.000000 rate, 14.314444 seconds, 6848 images
108: 396.565155, 318.330200 avg, 0.000000 rate, 14.197988 seconds, 6912 images
109: 400.819611, 326.579132 avg, 0.000000 rate, 14.095491 seconds, 6976 images
110: 399.523956, 333.873627 avg, 0.000000 rate, 14.203890 seconds, 7040 images
111: 217.403732, 322.226624 avg, 0.000000 rate, 7.588466 seconds, 7104 images
112: 218.192352, 311.823181 avg, 0.000000 rate, 7.906438 seconds, 7168 images
113: 211.211075, 301.761963 avg, 0.000000 rate, 7.899295 seconds, 7232 images
114: 216.388626, 293.224640 avg, 0.000000 rate, 7.926692 seconds, 7296 images
115: 209.009949, 284.803162 avg, 0.000000 rate, 7.907278 seconds, 7360 images
116: 217.432312, 278.066071 avg, 0.000000 rate, 7.896113 seconds, 7424 images
117: 210.179382, 271.277405 avg, 0.000000 rate, 7.915991 seconds, 7488 images
118: 215.886490, 265.738312 avg, 0.000000 rate, 7.893784 seconds, 7552 images
119: 212.654587, 260.429932 avg, 0.000000 rate, 7.912237 seconds, 7616 images
120: 207.795822, 255.166519 avg, 0.000000 rate, 7.880606 seconds, 7680 images
121: 308.567932, 260.506653 avg, 0.000000 rate, 9.960151 seconds, 7744 images
122: 305.497162, 265.005707 avg, 0.000000 rate, 10.368878 seconds, 7808 images
123: 300.735535, 268.578674 avg, 0.000000 rate, 10.377725 seconds, 7872 images
124: 301.077454, 271.828552 avg, 0.000000 rate, 10.389363 seconds, 7936 images
125: 296.514435, 274.297150 avg, 0.000000 rate, 10.422064 seconds, 8000 images
126: 297.059021, 276.573334 avg, 0.000000 rate, 10.392247 seconds, 8064 images
127: 295.819214, 278.497925 avg, 0.000000 rate, 10.409844 seconds, 8128 images
128: 301.715515, 280.819672 avg, 0.000000 rate, 10.333895 seconds, 8192 images
129: 293.469696, 282.084686 avg, 0.000000 rate, 10.361539 seconds, 8256 images
130: 296.536743, 283.529907 avg, 0.000000 rate, 10.343093 seconds, 8320 images
131: 224.776779, 277.654602 avg, 0.000000 rate, 8.261963 seconds, 8384 images
132: 222.542130, 272.143341 avg, 0.000000 rate, 8.582441 seconds, 8448 images
133: 222.362152, 267.165222 avg, 0.000000 rate, 8.589247 seconds, 8512 images
134: 219.314484, 262.380157 avg, 0.000000 rate, 8.579526 seconds, 8576 images
135: 219.807465, 258.122894 avg, 0.000000 rate, 8.570955 seconds, 8640 images
136: 219.141129, 254.224716 avg, 0.000000 rate, 8.545785 seconds, 8704 images
137: 214.228760, 250.225128 avg, 0.000000 rate, 8.584403 seconds, 8768 images
138: 215.391449, 246.741760 avg, 0.000000 rate, 8.622322 seconds, 8832 images
139: 210.840393, 243.151627 avg, 0.000000 rate, 8.678690 seconds, 8896 images
140: 212.365616, 240.073029 avg, 0.000000 rate, 8.593655 seconds, 8960 images
141: 183.711685, 234.436890 avg, 0.000000 rate, 7.609830 seconds, 9024 images
142: 178.036728, 228.796875 avg, 0.000000 rate, 7.938143 seconds, 9088 images
143: 176.964478, 223.613632 avg, 0.000000 rate, 7.930701 seconds, 9152 images
144: 177.772675, 219.029541 avg, 0.000000 rate, 7.951579 seconds, 9216 images
145: 180.003479, 215.126938 avg, 0.000000 rate, 7.928870 seconds, 9280 images
146: 177.583221, 211.372559 avg, 0.000000 rate, 7.908176 seconds, 9344 images
147: 172.518112, 207.487122 avg, 0.000000 rate, 7.907296 seconds, 9408 images
148: 171.025269, 203.840942 avg, 0.000000 rate, 7.927890 seconds, 9472 images
149: 173.286133, 200.785461 avg, 0.000000 rate, 7.909054 seconds, 9536 images
150: 171.110352, 197.817947 avg, 0.000001 rate, 7.942722 seconds, 9600 images
151: 143.957993, 192.431946 avg, 0.000001 rate, 6.540858 seconds, 9664 images
152: 143.327286, 187.521484 avg, 0.000001 rate, 6.789910 seconds, 9728 images
153: 143.152756, 183.084610 avg, 0.000001 rate, 6.792435 seconds, 9792 images
154: 144.754974, 179.251648 avg, 0.000001 rate, 6.776910 seconds, 9856 images
155: 143.207977, 175.647278 avg, 0.000001 rate, 6.798808 seconds, 9920 images
156: 138.068481, 171.889404 avg, 0.000001 rate, 6.766432 seconds, 9984 images
157: 138.522964, 168.552765 avg, 0.000001 rate, 6.801904 seconds, 10048 images
158: 135.680481, 165.265533 avg, 0.000001 rate, 6.803868 seconds, 10112 images
159: 133.634216, 162.102402 avg, 0.000001 rate, 6.787083 seconds, 10176 images
160: 135.328873, 159.425049 avg, 0.000001 rate, 6.834127 seconds, 10240 images
161: 95.792526, 153.061798 avg, 0.000001 rate, 4.674711 seconds, 10304 images
162: 93.322227, 147.087845 avg, 0.000001 rate, 4.863922 seconds, 10368 images
163: 93.541206, 141.733185 avg, 0.000001 rate, 4.874306 seconds, 10432 images
164: 92.059471, 136.765808 avg, 0.000001 rate, 4.879597 seconds, 10496 images
165: 94.929695, 132.582199 avg, 0.000001 rate, 4.879104 seconds, 10560 images
166: 90.962257, 128.420212 avg, 0.000001 rate, 4.872776 seconds, 10624 images
167: 89.543205, 124.532509 avg, 0.000001 rate, 4.871426 seconds, 10688 images
168: 91.949684, 121.274223 avg, 0.000001 rate, 4.867230 seconds, 10752 images
169: 89.058846, 118.052689 avg, 0.000001 rate, 4.864811 seconds, 10816 images
170: 88.891083, 115.136528 avg, 0.000001 rate, 4.865685 seconds, 10880 images
171: 141.779480, 117.800827 avg, 0.000001 rate, 7.623570 seconds, 10944 images
172: 138.189285, 119.839676 avg, 0.000001 rate, 7.914793 seconds, 11008 images
173: 142.399429, 122.095650 avg, 0.000001 rate, 7.914836 seconds, 11072 images
174: 136.655457, 123.551628 avg, 0.000001 rate, 7.915220 seconds, 11136 images
175: 137.456726, 124.942139 avg, 0.000001 rate, 7.946619 seconds, 11200 images
176: 134.391510, 125.887077 avg, 0.000001 rate, 7.913686 seconds, 11264 images
177: 133.700195, 126.668388 avg, 0.000001 rate, 7.884825 seconds, 11328 images
178: 130.377319, 127.039284 avg, 0.000001 rate, 7.910167 seconds, 11392 images
179: 130.012527, 127.336609 avg, 0.000001 rate, 7.904866 seconds, 11456 images
180: 126.581116, 127.261063 avg, 0.000001 rate, 7.921159 seconds, 11520 images
181: 107.743797, 125.309334 avg, 0.000001 rate, 6.471008 seconds, 11584 images
182: 106.567238, 123.435127 avg, 0.000001 rate, 6.753706 seconds, 11648 images
183: 107.651299, 121.856743 avg, 0.000001 rate, 6.745625 seconds, 11712 images
184: 104.729370, 120.144005 avg, 0.000001 rate, 6.763421 seconds, 11776 images
185: 104.169945, 118.546600 avg, 0.000001 rate, 6.749665 seconds, 11840 images
186: 101.854332, 116.877373 avg, 0.000001 rate, 6.745242 seconds, 11904 images
187: 99.077011, 115.097336 avg, 0.000001 rate, 6.746003 seconds, 11968 images
188: 98.587830, 113.446388 avg, 0.000001 rate, 6.779649 seconds, 12032 images
189: 97.999390, 111.901688 avg, 0.000001 rate, 6.766317 seconds, 12096 images
190: 93.528275, 110.064346 avg, 0.000001 rate, 6.767203 seconds, 12160 images
191: 141.578278, 113.215736 avg, 0.000001 rate, 9.392387 seconds, 12224 images
192: 142.267975, 116.120964 avg, 0.000001 rate, 9.778880 seconds, 12288 images
193: 135.762527, 118.085121 avg, 0.000001 rate, 9.827105 seconds, 12352 images
194: 132.836441, 119.560257 avg, 0.000001 rate, 9.768719 seconds, 12416 images
195: 132.790619, 120.883293 avg, 0.000001 rate, 9.787144 seconds, 12480 images
196: 126.868538, 121.481819 avg, 0.000001 rate, 9.770404 seconds, 12544 images
197: 125.337822, 121.867416 avg, 0.000002 rate, 9.821787 seconds, 12608 images
198: 123.217842, 122.002457 avg, 0.000002 rate, 9.766851 seconds, 12672 images
199: 119.914787, 121.793686 avg, 0.000002 rate, 9.769662 seconds, 12736 images
200: 117.133545, 121.327675 avg, 0.000002 rate, 9.800987 seconds, 12800 images
201: 146.946304, 123.889542 avg, 0.000002 rate, 12.808438 seconds, 12864 images
202: 142.839432, 125.784531 avg, 0.000002 rate, 13.373878 seconds, 12928 images
203: 137.018280, 126.907906 avg, 0.000002 rate, 13.347390 seconds, 12992 images
204: 133.365906, 127.553703 avg, 0.000002 rate, 13.305282 seconds, 13056 images
205: 133.311020, 128.129440 avg, 0.000002 rate, 13.311386 seconds, 13120 images
206: 126.822197, 127.998718 avg, 0.000002 rate, 13.334759 seconds, 13184 images
207: 124.639175, 127.662766 avg, 0.000002 rate, 13.322723 seconds, 13248 images
208: 118.891975, 126.785690 avg, 0.000002 rate, 13.351889 seconds, 13312 images
209: 117.659149, 125.873039 avg, 0.000002 rate, 13.302343 seconds, 13376 images
210: 109.994934, 124.285233 avg, 0.000002 rate, 13.330769 seconds, 13440 images
211: 42.954033, 116.152115 avg, 0.000002 rate, 4.640589 seconds, 13504 images
212: 40.818710, 108.618774 avg, 0.000002 rate, 4.842686 seconds, 13568 images
213: 39.392223, 101.696121 avg, 0.000002 rate, 4.849349 seconds, 13632 images
214: 40.991150, 95.625626 avg, 0.000002 rate, 4.844343 seconds, 13696 images
215: 39.217548, 89.984818 avg, 0.000002 rate, 4.844001 seconds, 13760 images
216: 37.160400, 84.702377 avg, 0.000002 rate, 4.846963 seconds, 13824 images
217: 36.070793, 79.839218 avg, 0.000002 rate, 4.844853 seconds, 13888 images
218: 37.347912, 75.590088 avg, 0.000002 rate, 4.843624 seconds, 13952 images
219: 35.667793, 71.597855 avg, 0.000002 rate, 4.842369 seconds, 14016 images
220: 34.474792, 67.885551 avg, 0.000002 rate, 4.842304 seconds, 14080 images
221: 67.214531, 67.818451 avg, 0.000002 rate, 9.351989 seconds, 14144 images
222: 65.170753, 67.553680 avg, 0.000002 rate, 9.768763 seconds, 14208 images
223: 63.827000, 67.181015 avg, 0.000002 rate, 9.760340 seconds, 14272 images
224: 61.262905, 66.589203 avg, 0.000003 rate, 9.770013 seconds, 14336 images
225: 60.226540, 65.952934 avg, 0.000003 rate, 9.805100 seconds, 14400 images
226: 58.967869, 65.254425 avg, 0.000003 rate, 9.744725 seconds, 14464 images
227: 60.075993, 64.736580 avg, 0.000003 rate, 9.797483 seconds, 14528 images
228: 57.646904, 64.027611 avg, 0.000003 rate, 9.772687 seconds, 14592 images
229: 57.782097, 63.403061 avg, 0.000003 rate, 9.760350 seconds, 14656 images
230: 54.480129, 62.510769 avg, 0.000003 rate, 9.765764 seconds, 14720 images
231: 52.146431, 61.474335 avg, 0.000003 rate, 8.270444 seconds, 14784 images
232: 45.694427, 59.896343 avg, 0.000003 rate, 8.563783 seconds, 14848 images
233: 46.831707, 58.589878 avg, 0.000003 rate, 8.558020 seconds, 14912 images
234: 44.159435, 57.146835 avg, 0.000003 rate, 8.600523 seconds, 14976 images
235: 40.389111, 55.471062 avg, 0.000003 rate, 8.588820 seconds, 15040 images
236: 43.742710, 54.298225 avg, 0.000003 rate, 8.582237 seconds, 15104 images
237: 44.277939, 53.296196 avg, 0.000003 rate, 8.558858 seconds, 15168 images
238: 40.811649, 52.047741 avg, 0.000003 rate, 8.576433 seconds, 15232 images
239: 42.359509, 51.078918 avg, 0.000003 rate, 8.566815 seconds, 15296 images
240: 41.370052, 50.108032 avg, 0.000003 rate, 8.587284 seconds, 15360 images
241: 65.010979, 51.598328 avg, 0.000003 rate, 15.173573 seconds, 15424 images
242: 60.572041, 52.495697 avg, 0.000003 rate, 15.696209 seconds, 15488 images
243: 60.408810, 53.287010 avg, 0.000003 rate, 15.689735 seconds, 15552 images
244: 58.927002, 53.851009 avg, 0.000004 rate, 15.747184 seconds, 15616 images
245: 53.474030, 53.813313 avg, 0.000004 rate, 15.655411 seconds, 15680 images
246: 57.801407, 54.212120 avg, 0.000004 rate, 15.761354 seconds, 15744 images
247: 53.865505, 54.177460 avg, 0.000004 rate, 15.673559 seconds, 15808 images
248: 53.339077, 54.093620 avg, 0.000004 rate, 15.696882 seconds, 15872 images
249: 51.757030, 53.859962 avg, 0.000004 rate, 15.724552 seconds, 15936 images
250: 49.354691, 53.409435 avg, 0.000004 rate, 15.706452 seconds, 16000 images
251: 41.049698, 52.173462 avg, 0.000004 rate, 12.864277 seconds, 16064 images
252: 42.099243, 51.166039 avg, 0.000004 rate, 13.320294 seconds, 16128 images
253: 39.234383, 49.972874 avg, 0.000004 rate, 13.350105 seconds, 16192 images
254: 37.353352, 48.710922 avg, 0.000004 rate, 13.318707 seconds, 16256 images
255: 35.542515, 47.394081 avg, 0.000004 rate, 13.301604 seconds, 16320 images
256: 36.600727, 46.314747 avg, 0.000004 rate, 13.329695 seconds, 16384 images
257: 35.173176, 45.200588 avg, 0.000004 rate, 13.328515 seconds, 16448 images
258: 33.398849, 44.020416 avg, 0.000004 rate, 13.347952 seconds, 16512 images
259: 33.673435, 42.985718 avg, 0.000004 rate, 13.347818 seconds, 16576 images
260: 31.467628, 41.833908 avg, 0.000005 rate, 13.311977 seconds, 16640 images
261: 24.207470, 40.071266 avg, 0.000005 rate, 8.237065 seconds, 16704 images
262: 23.821123, 38.446251 avg, 0.000005 rate, 8.575361 seconds, 16768 images
263: 23.945690, 36.996193 avg, 0.000005 rate, 8.624124 seconds, 16832 images
264: 23.430590, 35.639633 avg, 0.000005 rate, 8.588769 seconds, 16896 images
265: 22.221508, 34.297821 avg, 0.000005 rate, 8.585298 seconds, 16960 images
266: 21.809380, 33.048977 avg, 0.000005 rate, 8.585520 seconds, 17024 images
267: 20.115704, 31.755650 avg, 0.000005 rate, 8.562844 seconds, 17088 images
268: 23.641659, 30.944250 avg, 0.000005 rate, 8.574310 seconds, 17152 images
269: 19.261345, 29.775959 avg, 0.000005 rate, 8.585133 seconds, 17216 images
270: 21.031477, 28.901510 avg, 0.000005 rate, 8.592367 seconds, 17280 images
271: 16.810795, 27.692438 avg, 0.000005 rate, 6.474053 seconds, 17344 images
272: 17.997005, 26.722895 avg, 0.000005 rate, 6.737462 seconds, 17408 images
273: 15.607357, 25.611341 avg, 0.000006 rate, 6.735578 seconds, 17472 images
274: 17.098963, 24.760103 avg, 0.000006 rate, 6.726624 seconds, 17536 images
275: 17.139385, 23.998032 avg, 0.000006 rate, 6.727348 seconds, 17600 images
276: 16.200657, 23.218294 avg, 0.000006 rate, 6.728960 seconds, 17664 images
277: 18.169025, 22.713367 avg, 0.000006 rate, 6.723329 seconds, 17728 images
278: 18.579166, 22.299948 avg, 0.000006 rate, 6.744841 seconds, 17792 images
279: 16.288931, 21.698847 avg, 0.000006 rate, 6.755591 seconds, 17856 images
280: 16.348175, 21.163780 avg, 0.000006 rate, 6.732468 seconds, 17920 images
281: 18.465103, 20.893913 avg, 0.000006 rate, 9.347985 seconds, 17984 images
282: 20.999020, 20.904425 avg, 0.000006 rate, 9.775820 seconds, 18048 images
283: 17.986202, 20.612602 avg, 0.000006 rate, 9.777921 seconds, 18112 images
284: 22.518150, 20.803158 avg, 0.000007 rate, 9.753610 seconds, 18176 images
285: 19.962147, 20.719057 avg, 0.000007 rate, 9.766718 seconds, 18240 images
286: 21.230204, 20.770172 avg, 0.000007 rate, 9.771682 seconds, 18304 images
287: 18.940405, 20.587196 avg, 0.000007 rate, 9.756730 seconds, 18368 images
288: 19.292486, 20.457726 avg, 0.000007 rate, 9.789955 seconds, 18432 images
289: 18.687685, 20.280722 avg, 0.000007 rate, 9.752765 seconds, 18496 images
290: 18.439108, 20.096560 avg, 0.000007 rate, 9.772558 seconds, 18560 images
291: 17.319881, 19.818892 avg, 0.000007 rate, 8.243507 seconds, 18624 images
292: 18.750408, 19.712044 avg, 0.000007 rate, 8.566665 seconds, 18688 images
293: 17.060129, 19.446852 avg, 0.000007 rate, 8.539438 seconds, 18752 images
294: 19.682453, 19.470411 avg, 0.000007 rate, 8.575649 seconds, 18816 images
295: 17.918137, 19.315184 avg, 0.000008 rate, 8.538289 seconds, 18880 images
296: 15.149213, 18.898586 avg, 0.000008 rate, 8.564236 seconds, 18944 images
297: 17.585419, 18.767269 avg, 0.000008 rate, 8.554620 seconds, 19008 images
298: 16.550703, 18.545612 avg, 0.000008 rate, 8.553959 seconds, 19072 images
299: 17.025698, 18.393621 avg, 0.000008 rate, 8.589083 seconds, 19136 images
300: 16.886112, 18.242870 avg, 0.000008 rate, 8.545103 seconds, 19200 images
301: 12.243261, 17.642910 avg, 0.000008 rate, 4.643340 seconds, 19264 images
302: 14.221621, 17.300781 avg, 0.000008 rate, 4.845728 seconds, 19328 images
303: 13.375549, 16.908258 avg, 0.000008 rate, 4.851294 seconds, 19392 images
304: 14.351543, 16.652588 avg, 0.000009 rate, 4.847847 seconds, 19456 images
305: 13.432323, 16.330561 avg, 0.000009 rate, 4.846597 seconds, 19520 images
306: 12.126009, 15.910106 avg, 0.000009 rate, 4.850765 seconds, 19584 images
307: 15.455215, 15.864616 avg, 0.000009 rate, 4.849164 seconds, 19648 images
308: 14.501902, 15.728345 avg, 0.000009 rate, 4.852702 seconds, 19712 images
309: 14.937500, 15.649261 avg, 0.000009 rate, 4.847441 seconds, 19776 images
310: 13.139254, 15.398260 avg, 0.000009 rate, 4.847417 seconds, 19840 images
311: 18.702209, 15.728655 avg, 0.000009 rate, 12.828938 seconds, 19904 images
312: 17.356379, 15.891427 avg, 0.000009 rate, 13.338106 seconds, 19968 images
313: 19.160923, 16.218376 avg, 0.000010 rate, 13.322921 seconds, 20032 images
314: 18.040092, 16.400547 avg, 0.000010 rate, 13.338944 seconds, 20096 images
315: 16.369293, 16.397421 avg, 0.000010 rate, 13.347390 seconds, 20160 images
316: 19.630905, 16.720770 avg, 0.000010 rate, 13.320642 seconds, 20224 images
317: 20.838392, 17.132532 avg, 0.000010 rate, 13.291019 seconds, 20288 images
318: 18.493490, 17.268627 avg, 0.000010 rate, 13.368588 seconds, 20352 images
319: 17.367332, 17.278498 avg, 0.000010 rate, 13.356277 seconds, 20416 images
